id,clave,name,nacionalidad,designador_iata,linea_ferrea,clavetransporte_id/id
cfd_mx_traslado.cartaporte_estaciones_EA043,EA043,Gladman Point,Canadá,CYUR,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA044,EA044,Sault Ste. Marie,Canadá,YAM,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA045,EA045,Canadian Forces Base Shearwater,Canadá,YAW,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA046,EA046,Canadian Forces Base Bagotville,Canadá,YBG,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA047,EA047,Brandon Municipal,Canadá,YBR,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA048,EA048,Edmonton,Canadá,YEG,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA049,EA049,Fredericton,Canadá,YFC,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA050,EA050,John C. Munro,Canadá,YHM,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA051,EA051,Robert L. Stanfield,Canadá,YHZ,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA052,EA052,Region Of Waterloo,Canadá,YKF,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA053,EA053,Kelowna,Canadá,YLW,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA054,EA054,Mary's Harbour,Canadá,YMH,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA055,EA055,Fort Mcmurray,Canadá,YMM,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA056,EA056,Montreal-Mirabel,Canadá,YMX,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA057,EA057,Macdonald-Cartier,Canadá,YOW,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA058,EA058,Jean Lesage,Canadá,YQB,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA059,EA059,Windsor,Canadá,YQG,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA060,EA060,Lethbridge County,Canadá,YQL,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA061,EA061,Greater Moncton,Canadá,YQM,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA062,EA062,Canadian Forces Base Comox,Canadá,YQQ,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA063,EA063,Regina,Canadá,YQR,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA064,EA064,Thunder Bay,Canadá,YQT,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA065,EA065,Gander,Canadá,YQX,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA066,EA066,Sudbury,Canadá,YSB,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA067,EA067,Saint John,Canadá,YSJ,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA068,EA068,Billy Bishop,Canadá,YTZ,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA069,EA069,Pierre Elliott Trudeau,Canadá,YUL,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA070,EA070,Rouyn-Noranda,Canadá,YUY,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA071,EA071,Vancouver,Canadá,YVR,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA072,EA072,James Armstrong Richardson,Canadá,YWG,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA073,EA073,John G. Diefenbaker,Canadá,YXE,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA074,EA074,Prince George,Canadá,YXS,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA075,EA075,London,Canadá,YXU,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA076,EA076,Abbotsford,Canadá,YXX,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA077,EA077,Calgary,Canadá,YYC,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA078,EA078,Victoria,Canadá,YYJ,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA079,EA079,Canadian Forces Base Goose Bay,Canadá,YYR,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA080,EA080,St. John's,Canadá,YYT,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA081,EA081,Lester B. Pearson,Canadá,YYZ,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA082,EA082,Andres Sabella,Chile,ANF,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA083,EA083,Carriel Sur,Chile,CCP,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA084,EA084,Diego Aracena,Chile,IQQ,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA085,EA085,Arturo Merino Benítez,Chile,SCL,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA086,EA086,Baiyun,China,CAN,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA087,EA087,Changle,China,FOC,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA088,EA088,Xiaoshan,China,HGH,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA089,EA089,Lishe,China,NGB,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA090,EA090,Nanjing Lukou,China,NKG,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA091,EA091,Capital,China,PEK,,cartaporte_clavetransporte_03
