id,clave,name,description
cfd_mx_traslado.cartaporte_unidadpeso_XBA,XBA,Barril,
cfd_mx_traslado.cartaporte_unidadpeso_XBB,XBB,Bobina,
cfd_mx_traslado.cartaporte_unidadpeso_XBC,XBC,Cajón para botellas / Estante para botellas,
cfd_mx_traslado.cartaporte_unidadpeso_XBD,XBD,Tablero,
cfd_mx_traslado.cartaporte_unidadpeso_XBE,XBE,Flejado,
cfd_mx_traslado.cartaporte_unidadpeso_XBF,XBF,Globo no protegido,
cfd_mx_traslado.cartaporte_unidadpeso_XBG,XBG,Bolso,Recipiente de material flexible con tapa abierta o cerrada.
cfd_mx_traslado.cartaporte_unidadpeso_XBH,XBH,Manojo,
cfd_mx_traslado.cartaporte_unidadpeso_XBI,XBI,Compartimiento,
cfd_mx_traslado.cartaporte_unidadpeso_XBJ,XBJ,Cubeta,
cfd_mx_traslado.cartaporte_unidadpeso_XBK,XBK,Cesta,
cfd_mx_traslado.cartaporte_unidadpeso_XBL,XBL,Paca comprimida,
cfd_mx_traslado.cartaporte_unidadpeso_XBM,XBM,Cuenco,
cfd_mx_traslado.cartaporte_unidadpeso_XBN,XBN,Paca no comprimida,
cfd_mx_traslado.cartaporte_unidadpeso_XBO,XBO,Botella no-protegida y cilíndrica,Recipiente de forma cilíndrica de cuello estrecho sin material de empaque protector externo.
cfd_mx_traslado.cartaporte_unidadpeso_XBP,XBP,Globo protegido,
cfd_mx_traslado.cartaporte_unidadpeso_XBQ,XBQ,Botella cilíndrica protegida,Recipiente de forma cilíndrica de cuello estrecho con material de empaque protector externo.
cfd_mx_traslado.cartaporte_unidadpeso_XBR,XBR,Barra,
cfd_mx_traslado.cartaporte_unidadpeso_XBS,XBS,"Botella, no-protegida en forma de bulbo",Recipiente en forma de bulbo de cuello estrecho sin material de empaque protector externo.
cfd_mx_traslado.cartaporte_unidadpeso_XBT,XBT,Rollo de tela,
cfd_mx_traslado.cartaporte_unidadpeso_XBU,XBU,Butt,Barril de 1/2 tonel
cfd_mx_traslado.cartaporte_unidadpeso_XBV,XBV,Botella de bulbo protegido,Recipiente en forma de bulbo de cuello estrecho con material de empaque protector externo.
cfd_mx_traslado.cartaporte_unidadpeso_XBW,XBW,Caja para líquidos,
cfd_mx_traslado.cartaporte_unidadpeso_XBX,XBX,Caja,
cfd_mx_traslado.cartaporte_unidadpeso_XBY,XBY,"Tablero, con fleje/ agrupados/ armados",
cfd_mx_traslado.cartaporte_unidadpeso_XBZ,XBZ,"Barras, con fleje/ agrupados/ armados",
cfd_mx_traslado.cartaporte_unidadpeso_XCA,XCA,Lata rectangular,
cfd_mx_traslado.cartaporte_unidadpeso_XCB,XCB,Cajón para cerveza,
cfd_mx_traslado.cartaporte_unidadpeso_XCC,XCC,Mantequera,
cfd_mx_traslado.cartaporte_unidadpeso_XCD,XCD,Lata con mango y boquilla,
cfd_mx_traslado.cartaporte_unidadpeso_XCE,XCE,Cesto tejido,
cfd_mx_traslado.cartaporte_unidadpeso_XCF,XCF,Cofre,
cfd_mx_traslado.cartaporte_unidadpeso_XCG,XCG,Contenedor tipo Jaula,
cfd_mx_traslado.cartaporte_unidadpeso_XCH,XCH,Cajonera,
cfd_mx_traslado.cartaporte_unidadpeso_XCI,XCI,Frasco,
cfd_mx_traslado.cartaporte_unidadpeso_XCJ,XCJ,Ataúd,
cfd_mx_traslado.cartaporte_unidadpeso_XCK,XCK,Barrica,
cfd_mx_traslado.cartaporte_unidadpeso_XCL,XCL,Espiral,
cfd_mx_traslado.cartaporte_unidadpeso_XCM,XCM,Paquete de tarjetas,Paquete plano normalmente hecho de cartón desde / hacia el cual el producto es a menudo colgado o unido.
cfd_mx_traslado.cartaporte_unidadpeso_XCN,XCN,"Contenedor, no especificado como equipo de transporte",
cfd_mx_traslado.cartaporte_unidadpeso_XCO,XCO,Garrafón no protegido,
cfd_mx_traslado.cartaporte_unidadpeso_XCP,XCP,Garrafón protegido,
cfd_mx_traslado.cartaporte_unidadpeso_XCQ,XCQ,Cartucho,Paquete que contiene una carga tal como un explosivo propulsor para armas de fuego o tóner de tinta para una impresora.
cfd_mx_traslado.cartaporte_unidadpeso_XCR,XCR,Cajón,
cfd_mx_traslado.cartaporte_unidadpeso_XCS,XCS,Estuche,
cfd_mx_traslado.cartaporte_unidadpeso_XCT,XCT,Cartón,
cfd_mx_traslado.cartaporte_unidadpeso_XCU,XCU,Vaso,
cfd_mx_traslado.cartaporte_unidadpeso_XCV,XCV,Cubierta,
cfd_mx_traslado.cartaporte_unidadpeso_XCW,XCW,Jaula estilo rodillo,
cfd_mx_traslado.cartaporte_unidadpeso_XCX,XCX,Lata cilíndrica,
cfd_mx_traslado.cartaporte_unidadpeso_XCY,XCY,Cilindro,
cfd_mx_traslado.cartaporte_unidadpeso_XCZ,XCZ,Lona,
cfd_mx_traslado.cartaporte_unidadpeso_XDA,XDA,Cajón multicapa de plástico,
cfd_mx_traslado.cartaporte_unidadpeso_XDB,XDB,Cajón de varias capas de madera,
cfd_mx_traslado.cartaporte_unidadpeso_XDC,XDC,Cajón multicapa de cartón,
cfd_mx_traslado.cartaporte_unidadpeso_XDG,XDG,"Jaula, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP))",
cfd_mx_traslado.cartaporte_unidadpeso_XDH,XDH,"Caja, Según la clasificación de la compañía (CHEP), Eurobox",Caja montada sobre una base de pallet Según la clasificación de la compañía (CHEP).
cfd_mx_traslado.cartaporte_unidadpeso_XDI,XDI,Tambor de hierro,
cfd_mx_traslado.cartaporte_unidadpeso_XDJ,XDJ,"damajuana o garrafa, no protegido",
cfd_mx_traslado.cartaporte_unidadpeso_XDK,XDK,"Cajón a granel, cartón",
cfd_mx_traslado.cartaporte_unidadpeso_XDL,XDL,Cajas de plástico,
cfd_mx_traslado.cartaporte_unidadpeso_XDM,XDM,Cajones a granel de madera,
cfd_mx_traslado.cartaporte_unidadpeso_XDN,XDN,Dispensador,
cfd_mx_traslado.cartaporte_unidadpeso_XDP,XDP,"damajuana o garrafa, protegido",
cfd_mx_traslado.cartaporte_unidadpeso_XDR,XDR,Tambor,
cfd_mx_traslado.cartaporte_unidadpeso_XDS,XDS,Bandeja de una capa sin cubierta y de plástico,
cfd_mx_traslado.cartaporte_unidadpeso_XDT,XDT,Bandeja de una capa sin cubierta y de madera,
cfd_mx_traslado.cartaporte_unidadpeso_XDU,XDU,Bandeja de una capa sin cubierta y  poliestireno,
cfd_mx_traslado.cartaporte_unidadpeso_XDV,XDV,Bandeja de una capa sin cubierta y de cartón,
cfd_mx_traslado.cartaporte_unidadpeso_XDW,XDW,Bandeja de dos capas sin tapa y con bandeja de plástico,
cfd_mx_traslado.cartaporte_unidadpeso_XDX,XDX,Bandeja de dos capas sin cubierta y de madera,
cfd_mx_traslado.cartaporte_unidadpeso_XDY,XDY,Bandeja de dos capas sin cubierta y de cartón,
cfd_mx_traslado.cartaporte_unidadpeso_XEC,XEC,Bolsa de plástico,
cfd_mx_traslado.cartaporte_unidadpeso_XED,XED,"Estuche, con pallet de base",
cfd_mx_traslado.cartaporte_unidadpeso_XEE,XEE,"Estuche, con pallet base de madera",
cfd_mx_traslado.cartaporte_unidadpeso_XEF,XEF,"Estuche, con pallet base de cartón",
cfd_mx_traslado.cartaporte_unidadpeso_XEG,XEG,"Estuche, con pallet base de plástico",
cfd_mx_traslado.cartaporte_unidadpeso_XEH,XEH,"Estuche, con pallet base de metal",
cfd_mx_traslado.cartaporte_unidadpeso_XEI,XEI,Estuche isotérmico,
cfd_mx_traslado.cartaporte_unidadpeso_XEN,XEN,Sobre,
