id,clave,name
cfd_mx_traslado.cartaporte_materialpeligroso_M0155,M0155,MOTORES DE COHETE (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0156,M0156,MOTORES DE COHETE (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0157,M0157,"NITROGUANIDINA (PICRITA) seca o humedecida con menos del 20 %, en masa, de agua (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0158,M0158,MULTIPLICADORES sin detonador (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0159,M0159,"GRANADAS de mano o de fusil, con carga explosiva (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0160,M0160,"GRANADAS de mano o de fusil, con carga explosiva (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0161,M0161,"CABEZAS DE COMBATE PARA COHETES, con carga explosiva (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0162,M0162,"CABEZAS DE COMBATE PARA COHETES, con carga explosiva (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0163,M0163,CARGAS MOLDEADAS LINEALES FLEXIBLES (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0164,M0164,MECHA DETONANTE flexible (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0165,M0165,MECHA DETONANTE con envoltura metálica (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0166,M0166,BOMBAS con carga explosiva (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0167,M0167,"GRANADAS de mano o de fusil, con carga explosiva (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0168,M0168,"GRANADAS de mano o de fusil, con carga explosiva (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0169,M0169,MINAS con carga explosiva (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0170,M0170,COHETES con carga explosiva (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0171,M0171,CARGAS EXPLOSIVAS PARA SONDEOS (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0172,M0172,"MUNICIONES ILUMINANTES con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0173,M0173,BOMBAS DE ILUMINACIÓN PARA FOTOGRAFÍA (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0174,M0174,"MUNICIONES INCENDIARIAS con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0175,M0175,"MUNICIONES LACRIMÓGENAS con carga dispersora, carga expulsora
o carga propulsora (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0176,M0176,"MUNICIONES FUMÍGENAS con o sin carga dispersora, carga expulsora
o carga propulsora (Producto o material explosivo)"
cfd_mx_traslado.cartaporte_materialpeligroso_M0177,M0177,PÓLVORA DE DESTELLOS (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0178,M0178,TRAZADORES PARA MUNICIONES (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0179,M0179,CARTUCHOS DE SEÑALES (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0180,M0180,SEÑALES FUMÍGENAS (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0181,M0181,INFLAMADORES (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0182,M0182,INFLAMADORES (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0183,M0183,ESPOLETAS DE IGNICIÓN (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0184,M0184,ESPOLETAS DE IGNICIÓN (Producto o material explosivo)
cfd_mx_traslado.cartaporte_materialpeligroso_M0185,M0185,"GRANADAS DE EJERCICIOS, de mano o de fusil (Producto o material explosivo)"
